index,x,y_elevation,z,cumulative_length_m
290,-161.6718292236328,-5.943233013153076,-42.640079498291016,458.91461181640625
291,-161.51669311523438,-5.933475494384766,-44.24551010131836,460.527587890625
292,-161.36366271972656,-5.922641277313232,-45.85011291503906,462.1395568847656
293,-161.21287536621094,-5.91370153427124,-47.453914642333984,463.7505187988281
294,-161.06423950195312,-5.906265735626221,-49.056907653808594,465.3604431152344
295,-160.91775512695312,-5.89921760559082,-50.65903091430664,466.96929931640625
296,-160.7734375,-5.891045093536377,-52.26039505004883,468.57720947265625
297,-160.63111877441406,-5.882204055786133,-53.86116409301758,470.1843566894531
298,-160.4906463623047,-5.872947692871094,-55.46143341064453,471.7908630371094
299,-160.35198974609375,-5.864302158355713,-57.06120681762695,473.3966979980469
300,-160.21536254882812,-5.856564521789551,-58.660396575927734,475.00177001953125
301,-160.08070373535156,-5.849757194519043,-60.25879669189453,476.60589599609375
302,-159.94813537597656,-5.842495918273926,-61.85622024536133,478.2088928222656
303,-159.81753540039062,-5.833967208862305,-63.45267868041992,479.8107604980469
304,-159.68838500976562,-5.824724197387695,-65.04815673828125,481.4115295410156
305,-159.55979919433594,-5.816036224365234,-66.64266204833984,483.01129150390625
306,-159.4314422607422,-5.808494567871094,-68.23603820800781,484.6098937988281
307,-159.30361938476562,-5.801619052886963,-69.82823944091797,486.207275390625
308,-159.17669677734375,-5.79451322555542,-71.41930389404297,487.803466796875
309,-159.05084228515625,-5.786733150482178,-73.00922393798828,489.3984375
310,-158.92581176757812,-5.77869987487793,-74.59803771972656,490.9922180175781
311,-158.80126953125,-5.770556926727295,-76.18574523925781,492.5848693847656
312,-158.67709350585938,-5.762783527374268,-77.7723159790039,494.1763610839844
313,-158.55335998535156,-5.7552900314331055,-79.35771179199219,495.7666320800781
314,-158.429931640625,-5.748162269592285,-80.94197082519531,497.3557434082031
315,-158.30645751953125,-5.740938663482666,-82.52501678466797,498.94366455078125
316,-158.1826934814453,-5.733648300170898,-84.10680389404297,500.53033447265625
317,-158.05880737304688,-5.725978851318359,-85.68733978271484,502.11578369140625
318,-157.93482971191406,-5.717611789703369,-87.26673126220703,503.7001037597656
319,-157.81085205078125,-5.70930814743042,-88.84495544433594,505.28326416015625
320,-157.68701171875,-5.701732635498047,-90.42201232910156,506.865234375
321,-157.56333923339844,-5.693828105926514,-91.99787139892578,508.4460144042969
322,-157.4398193359375,-5.6855363845825195,-93.57273864746094,510.0257873535156
323,-157.31605529785156,-5.6768574714660645,-95.14662170410156,511.6046142578125
324,-157.19223022460938,-5.668076038360596,-96.71961975097656,513.1825561523438
325,-157.0685272216797,-5.6596174240112305,-98.29167938232422,514.759521484375
326,-156.9446258544922,-5.651485919952393,-99.86283111572266,516.3356323242188
327,-156.82064819335938,-5.643527507781982,-101.43305969238281,517.9108276367188
328,-156.69664001464844,-5.635018825531006,-103.00230407714844,519.4850463867188
329,-156.57247924804688,-5.626284122467041,-104.57064056396484,521.058349609375
330,-156.44839477539062,-5.61688756942749,-106.13813018798828,522.6307983398438
331,-156.3246307373047,-5.608407020568848,-107.70484161376953,524.2024536132812
